year-week,PCA_index,PCA_index1,original_return,return,ln_return,PCA_index_t-1,PCA_index1_t-1,PCA_index_t-2,PCA_index1_t-2
2018-5,0.523200333,0.892600314,-0.059336146,-2.274014938,-0.061169425,-0.020496093,-0.046053386,0.411790328,0.610214786
2018-6,0.2657375,0.447269405,-0.074931097,-2.866486685,-0.077887055,0.523200333,0.892600314,-0.020496093,-0.046053386
2018-7,-1.44439043,-1.878182762,0.035991647,1.347607316,0.035359081,0.2657375,0.447269405,0.523200333,0.892600314
2018-8,-2.294810151,-2.373130661,0.024822627,0.923282265,0.024519551,-1.44439043,-1.878182762,0.2657375,0.447269405
2018-9,-0.438915025,-0.403262902,0.026902104,1.002284187,0.026546604,-2.294810151,-2.373130661,-1.44439043,-1.878182762
2018-12,-0.104583262,0.284431536,-0.058435061,-2.239781602,-0.060211959,-0.438915025,-0.403262902,-2.294810151,-2.373130661
2018-13,0.298797378,0.620631949,0.056606447,2.130789391,0.055062307,-0.104583262,0.284431536,-0.438915025,-0.403262902
2018-15,-0.608898259,-0.63794289,0.001578679,0.04021555,0.001577434,0.298797378,0.620631949,-0.104583262,0.284431536
2018-16,0.119365475,0.88725897,-0.02428163,-0.942249992,-0.02458129,-0.608898259,-0.63794289,0.298797378,0.620631949
2018-17,0.004845408,0.559245406,-0.003377069,-0.148059503,-0.003382784,0.119365475,0.88725897,-0.608898259,-0.63794289
2018-19,-1.147285883,-1.226352874,0.013884917,0.507744944,0.013789404,0.004845408,0.559245406,0.119365475,0.88725897
2018-20,-0.319926826,0.416299773,0.000635918,0.004398878,0.000635716,-1.147285883,-1.226352874,0.004845408,0.559245406
2018-21,-0.353296511,0.497444536,-0.012902096,-0.50992722,-0.012986051,-0.319926826,0.416299773,-1.147285883,-1.226352874
2018-22,-0.345391259,0.445897208,-0.039318666,-1.513525798,-0.040112523,-0.353296511,0.497444536,-0.319926826,0.416299773
2018-23,-0.70049404,-0.137996926,-0.002782703,-0.125478806,-0.002786582,-0.345391259,0.445897208,-0.353296511,0.497444536
2018-24,-0.515380348,0.02580507,-0.032693631,-1.261832416,-0.033240009,-0.70049404,-0.137996926,-0.345391259,0.445897208
2018-25,-1.128963987,-0.645891618,-0.059050502,-2.263162972,-0.060865809,-0.515380348,0.02580507,-0.70049404,-0.137996926
2018-26,-0.455071947,-0.008678936,0.011170283,0.404612601,0.011108356,-1.128963987,-0.645891618,-0.515380348,0.02580507
2018-27,-0.913940903,-0.3161513,-0.042380255,-1.629839415,-0.043304506,-0.455071947,-0.008678936,-1.128963987,-0.645891618
2018-28,-0.427500564,0.014103656,0.041539998,1.558396118,0.040700385,-0.913940903,-0.3161513,-0.455071947,-0.008678936
2018-29,-1.25975854,-1.085277389,-0.005560904,-0.231026138,-0.005576423,-0.427500564,0.014103656,-0.913940903,-0.3161513
2018-31,-1.384188271,-1.154912181,-0.060872994,-2.332401738,-0.062804553,-1.25975854,-1.085277389,-0.427500564,0.014103656
2018-32,-1.140592572,-0.992159965,0.020441199,0.756826312,0.020235082,-1.384188271,-1.154912181,-1.25975854,-1.085277389
2018-35,-1.394906877,-1.67560628,-0.007722127,-0.313133718,-0.007752097,-1.140592572,-0.992159965,-1.384188271,-1.154912181
2018-36,-1.174251853,-0.646768001,-0.004785226,-0.201557152,-0.004796711,-1.394906877,-1.67560628,-1.140592572,-0.992159965
2018-37,-1.059078877,-0.499275526,-0.02539766,-0.98464936,-0.025725748,-1.174251853,-0.646768001,-1.394906877,-1.67560628
2018-38,-1.004709035,-0.662519967,0.028937406,1.079607856,0.028526625,-1.059078877,-0.499275526,-1.174251853,-0.646768001
2018-42,-1.037754795,-0.788885971,-0.035074473,-1.352283614,-0.035704355,-1.004709035,-0.662519967,-1.059078877,-0.499275526
2018-43,-0.871374274,-0.399640525,0.025671089,0.955516402,0.02534712,-1.037754795,-0.788885971,-1.004709035,-0.662519967
2018-45,-0.635911942,-0.405787848,-0.015624331,-0.613348345,-0.015747677,-0.871374274,-0.399640525,-1.037754795,-0.788885971
2018-46,-0.478895493,-0.146117287,0.066494835,2.506461626,0.064377416,-0.635911942,-0.405787848,-0.871374274,-0.399640525
2018-48,0.019814373,-0.205833789,0.000432024,-0.003347316,0.00043193,-0.478895493,-0.146117287,-0.635911942,-0.405787848
2018-49,-1.380325972,-1.308324562,0.007839329,0.278065498,0.007808761,0.019814373,-0.205833789,-0.478895493,-0.146117287
2018-50,-1.530667855,-1.746060124,-0.016744654,-0.655910825,-0.016886431,-1.380325972,-1.308324562,0.019814373,-0.205833789
2019-1,-2.055443666,-2.032512801,0.010278212,0.370721723,0.010225751,-1.530667855,-1.746060124,-1.380325972,-1.308324562
2019-2,-1.747162366,-2.094702179,0.024697925,0.918544685,0.024397862,-2.055443666,-2.032512801,-1.530667855,-1.746060124
2019-3,-3.933805697,-2.18524251,0.00763173,0.270178553,0.007602756,-1.747162366,-2.094702179,-2.055443666,-2.032512801
2019-4,-4.196548317,-2.274425967,-0.006755125,-0.276396097,-0.006778044,-3.933805697,-2.18524251,-1.747162366,-2.094702179
2019-7,-1.90838701,-2.22915718,0.048546086,1.824566173,0.047404524,-4.196548317,-2.274425967,-3.933805697,-2.18524251
2019-8,-1.076827597,-1.925984776,0.060976206,2.296801993,0.059189433,-1.90838701,-2.22915718,-4.196548317,-2.274425967
,,,,,,,,-1.90838701,-2.22915718
,,,,,,,,-1.076827597,-1.925984776
