Constituent Code,Constituent Name(Eng.)
975,"Yintai Resources Co., Ltd."
980,"ZOTYE AUTOMOBILE CO., LTD"
987,"Guangzhou Yuexiu Financial Holdings Group Co., Ltd."
988,Huagong Tech Co Ltd
990,Chengzhi Co Ltd
997,"Newland Digital Technology Co.,Ltd."
998,Yuan Longping High-tech Agriculture Co Ltd
999,China Resources Sanjiu Medical & Pharmaceutical Co Ltd
2002,"Hongda Xingye Co., Ltd."
2004,"HUAPONT LIFE SCIENCES CO., LTD."
2013,"AVIC Electromechanical Systems Co., Ltd."
2019,"YIFAN PHARMACEUTICAL CO.,LTD"
2028,"Siyuan Electric Co., Ltd."
2030,Da An Gene Co Ltd of Sun Yat-Sen University
2038,Beijing SL Pharmaceutical Co Ltd
2041,Shandong Denghai Seeds Co Ltd
2048,Ningbo Huaxiang Electronic Co Ltd
2049,"Unigroup Guoxin Microelectronics Co., Ltd."
2051,China CAMC Engineering Co Ltd
2056,Hengdian Group DMEGC Magnetics Co Ltd
2064,Zhejiang Huafeng Spandex Co Ltd
2074,"GUOXUAN HIGH-TECH CO.,LTD."
2078,Shan Dong Sun Paper Industry Joint Stock Co Ltd
2092,"Xinjiang Zhongtai Chemical Co.,Ltd."
2093,"Guomai Technologies,Inc."
2110,"Sansteel Minguang Co.,Ltd.Fujian"
2118,Jilin Zixin Pharmaceutical Industrial Co Ltd
2127,"NanJi E-Commerce Co., LTD"
2128,Huolinhe Opencut Coal Industry Corporation Limited of Innermongolia
2129,"Tianjin Zhonghuan Semiconductor Co., Ltd."
2131,"LEO GROUP CO., LTD."
2147,Neoglory prosperity Inc.
2152,GRG Banking Equipment Co Ltd
2155,Hunan Gold Corporation Limited
2174,"YOUZU Interactive CO., LTD."
2176,Jiangxi Special Electric Motor Co Ltd
2183,Eternal Asia Supply Chain Management Ltd
2191,"SHENZHEN JINJIA GROUP CO.,LTD."
2195,"Shanghai 2345 Network Holding Group Co., Ltd."
2212,Nanyang Topsec Technologies Group Inc.
2221,Oriental Energy Co Ltd
2223,Jiangsu Yuyue Medical Equipment & Supply Co Ltd
2233,Guangdong Tapai Group Co Ltd
2242,Joyoung Co Ltd
2244,Hangzhou Binjiang Real Estate Group Co Ltd
2249,Zhongshan Broad-ocean Motor Co Ltd
2250,Lianhe Chemical Technology Co Ltd
2251,Better Life Commercial Chain Share Co Ltd
2254,Yantai Tayho Advanced Materials Co Ltd
2266,"ZHEFU HOLDING GROUP CO., LTD"
2268,Westone Information Industry Inc
2273,"Zhejiang Crystal-Optech Co., Ltd"
2276,"Zhejiang Wanma Co., Ltd."
2277,"Hunan Friendship and Apollo Commercial Co., Ltd."
2280,"Hangzhou Liaison Interactive Information Technology Co., Ltd"
2281,Accelink Technologies Co Ltd
2285,SHENZHEN WORLDUNION PROPERTIES CONSULTANCY INCORPORATED
2299,Fujian Sunner Development Co Ltd
2302,"China West Construction Group Co., ltd"
2308,Vtron Technologies Co Ltd
2317,Guangdong Zhongsheng Pharmaceutical Co Ltd
2332,Zhejiang Xianju Pharmaceutical Co Ltd
2340,Shenzhen Green Eco-manufacture Hi-tech Co Ltd
2344,Haining China Leather Market Co Ltd
2345,Guangdong CHJ Industry Co Ltd
2353,Yantai Jereh Oilfield Services Group Co Ltd
2354,"Dalian Zeus Entertainment Co., Ltd."
2358,Henan Senyuan Electric Co Ltd
2359,"NORTHCOM GROUP CO., LTD."
2366,"Taihai Manoir Nuclear Equipment Co.,Ltd."
2368,Taiji Computer Co Ltd
2371,"NAURA Technology Group Co.,Ltd."
2372,Zhejiang Weixing New Building Materials Co Ltd
2373,Surekam Corporation
2375,Zhejiang Yasha Decoration Co Ltd
2384,Suzhou Dongshan Precision Manufacturing Co Ltd
2385,Beijing Dabeinong Technology Group Co Ltd
2390,Guizhou Xinbang Pharmaceutical Co Ltd
2399,Shenzhen Hepalink Pharmaceutical Co Ltd
2400,"GUANGDONG ADVERTISING GROUP CO.,LTD"
2407,Do-Fluoride Chemicals Co Ltd
2408,Zibo Qixiang Tengda Chemical Co Ltd
2410,Glodon Software Co Ltd
2414,Wuhan Guide Infrared Co Ltd
2416,Shenzhen Aisidi Co Ltd
2424,Guizhou Bailing Group Pharmaceutical Co Ltd
2426,Suzhou Victory Precision Manufacture Co Ltd
2431,"PALM ECO-TOWN DEVELOPMENT CO., LTD."
2434,"Zhejiang Wanliyang Co., Ltd."
2437,Harbin Gloria Pharmaceuticals Co Ltd
2439,Beijing Venustech Inc.
2440,Zhejiang Runtu Co Ltd
2444,Hangzhou Great Star Industrial Co Ltd
2463,Wus Printed Circuit (Kunshan) Co Ltd
2465,Guangzhou Haige Communications Group Incorporated Company
2470,"Kingenta Ecological Engineering Group Co., Ltd"
2477,"CHUYING AGRO-PASTORAL GROUP CO., LTD"
2482,"SHENZHEN GRANDLAND GROUP CO., LTD."
2489,Yotrio Group Co Ltd
2491,"TONGDING INTERCONNECTION INFORMATION CO., LTD."
2500,Shanxi Securities Co Ltd
2503,Dongguan Souyute Fashion Co Ltd
2505,"HUNAN DAKANG INTERNATIONAL FOOD & AGRICULTURE CO.,LTD"
2506,"GCL System Integration Technology Co., Ltd."
2507,Chongqing Fuling Zhacai Group Co Ltd
2509,"TianGuang ZhongMao Co.,Ltd."
2512,Tatwah Smartech Co Ltd
2517,Taiya Shoes Co Ltd
2544,Gci Science & Technology Co Ltd
2563,Zhejiang Semir Garment Co Ltd
2573,"Beijing SPC Environment Protection Tech Co., Ltd"
2583,Hytera Communications Co Ltd
2588,"Stanley Group Co.,Ltd"
2589,"Realcan Pharmaceutical Group Co., Ltd."
2603,Shijiazhuang Yiling Pharmaceutical Co Ltd
2635,Suzhou Anjie Technology Co Ltd
2640,"Global Top E-Commerce Co.,Ltd."
2642,United Electronics Co Ltd
2663,"PUBANG LANDSCAPE ARCHITECTURE CO.,LTD"
2665,"Beijing Shouhang Resources Saving Co.,Ltd"
2670,Guosheng Financial Holding Inc.
2672,Dongjiang Environmental Company Limited
2681,"Shenzhen Fenda Technology Co., Ltd."
2690,Hefei Meiya Optoelectronic Technology Inc.
2699,"Meisheng Cultural & Creative Corp., Ltd."
2701,"ORG Packaging Co.,Ltd."
2707,"UTour Group Co., Ltd."
2709,"Guangzhou Tinci Materials Technology Co., Ltd"
2745,"MLS Co.,LTD."
2807,"Jiangsu Jiangyin Rural Commercial Bank CO.,LTD."
2815,"Suntak Technology Co., Ltd."
2818,"Chengdu Fusen Noble-House Industrial Co.,Ltd."
2831,"ShenZhen YUTO Packaging Technology Co., Ltd."
2839,"Jiangsu Zhangjiagang Rural Commercial Bank Co., Ltd"
2916,"Shennan Circuits Co., Ltd."
2920,"Huizhou Desay SV Automotive Co., Ltd."
300001,Qingdao TGOOD Electric Co Ltd
300002,Beijing Ultrapower Software Co Ltd
300010,Beijing Lanxum Technology Co Ltd
300026,Tianjin Chase Sun Pharmaceutical Co Ltd
300027,Huayi Brothers Media Co Ltd
300055,Beijing Water Business Doctor Co Ltd
300058,"Bluefocus Data Technology Co., Ltd."
300088,Wuhu Token Science Co Ltd
300113,Hangzhou Shunwang Technology Co Ltd
300115,Shenzhen Evenwin Precision Technology Co Ltd
300133,Zhejiang Huace Film & TV Co Ltd
300134,Shenzhen Tat Fook Technology Co Ltd
300146,"BY-HEALTH CO., LTD"
300156,"Shenwu Environmental Technology CO.,LTD"
300159,Xinjiang Machinery Research Institute Co Ltd
300166,"Beijing Orient National Communication Science and Technology Co.,Ltd."
300168,Wonders Information Co Ltd
300182,Beijing Jetsen Technology Co Ltd
300197,Shenzhen Techand Ecology & Environment Co Ltd
300199,Hybio Pharmaceutical Co Ltd
300202,"Julong Co.,Ltd."
300244,Zhejiang D.A. Diagnostics Co Ltd
300253,"Winning Health Technology Group Co., Ltd."
300257,Zhejiang Kaishan Compressor Co Ltd
300266,"Xingyuan Environment Technology Co., Ltd."
300274,Sungrow Power Supply Co Ltd
300287,"Beijing Philisense Technology Co., Ltd."
300291,"Beijing HualuBaina Film&Tv CO.,LTD."
300297,"BLUEDON INFORMATION SECURITY TECHNOLOGY Co.,Ltd."
